Authors,ArticleTitle,Source Title,Volume,Issue,Start Page,End Page,DOI,Early Access Date,Document Type,Publication Date,Publication Year,Abstract,N,O
"Prillaman, Mckenzie",Is ChatGPT making scientists hyper-productive? The highs and lows of using AI,NATURE,627,8002,16,17,10.1038/d41586-024-00592-w,,News Item,MAR 7 2024,2024,Large language models are transforming scientific writing and publishing. But the productivity boost that these tools bring could have a downside.,Applications in Professional and Scientific Fields,LLM提升科学写作与发表的生产力，但这种增产可能伴随潜在负面后果。
"McDuff, Daniel; Schaekermann, Mike; Tu, Tao; Palepu, Anil; Wang, Amy; Garrison, Jake; Singhal, Karan; Sharma, Yash; Azizi, Shekoofeh; Kulkarni, Kavita; Hou, Le; Cheng, Yong; Liu, Yun; Mahdavi, S. Sara; Prakash, Sushant; Pathak, Anupam; Semturs, Christopher; Patel, Shwetak; Webster, Dale R.; Dominowska, Ewa; Gottweis, Juraj; Barral, Joelle; Chou, Katherine; Corrado, Greg S.; Matias, Yossi; Sunshine, Jake; Karthikesalingam, Alan; Natarajan, Vivek",Towards accurate differential diagnosis with large language models,NATURE,642,8067,,,10.1038/s41586-025-08869-4,25-Apr,Article,JUN 12 2025,2025,"A comprehensive differential diagnosis is a cornerstone of medical care that is often reached through an iterative process of interpretation that combines clinical history, physical examination, investigations and procedures. Interactive interfaces powered by large language models present new opportunities to assist and automate aspects of this process1. Here we introduce the Articulate Medical Intelligence Explorer (AMIE), a large language model that is optimized for diagnostic reasoning, and evaluate its ability to generate a differential diagnosis alone or as an aid to clinicians. Twenty clinicians evaluated 302 challenging, real-world medical cases sourced from published case reports. Each case report was read by two clinicians, who were randomized to one of two assistive conditions: assistance from search engines and standard medical resources; or assistance from AMIE in addition to these tools. All clinicians provided a baseline, unassisted differential diagnosis prior to using the respective assistive tools. AMIE exhibited standalone performance that exceeded that of unassisted clinicians (top-10 accuracy 59.1% versus 33.6%, P = 0.04). Comparing the two assisted study arms, the differential diagnosis quality score was higher for clinicians assisted by AMIE (top-10 accuracy 51.7%) compared with clinicians without its assistance (36.1%; McNemar's test: 45.7, P < 0.01) and clinicians with search (44.4%; McNemar's test: 4.75, P = 0.03). Further, clinicians assisted by AMIE arrived at more comprehensive differential lists than those without assistance from AMIE. Our study suggests that AMIE has potential to improve clinicians' diagnostic reasoning and accuracy in challenging cases, meriting further real-world evaluation for its ability to empower physicians and widen patients' access to specialist-level expertise.",Applications in Professional and Scientific Fields,优化诊断推理的AMIE在302个真实复杂病例中的top-10准确率优于未辅助手的临床医生，能改善差异诊断质量与全面性。
"Goldstein, Josh A.; Chao, Jason; Grossman, Shelby; Stamos, Alex; Tomz, Michael",How persuasive is AI-generated propaganda?,PNAS NEXUS,3,2,,,10.1093/pnasnexus/pgae034,24-Feb,Article,FEB 1 2024,2024,"Can large language models, a form of artificial intelligence (AI), generate persuasive propaganda? We conducted a preregistered survey experiment of US respondents to investigate the persuasiveness of news articles written by foreign propagandists compared to content generated by GPT-3 davinci (a large language model). We found that GPT-3 can create highly persuasive text as measured by participants' agreement with propaganda theses. We further investigated whether a person fluent in English could improve propaganda persuasiveness. Editing the prompt fed to GPT-3 and/or curating GPT-3's output made GPT-3 even more persuasive, and, under certain conditions, as persuasive as the original propaganda. Our findings suggest that propagandists could use AI to create convincing content with limited effort.","Bias, Ethics, and Societal Risks",GPT-3能生成高度说服力的宣传文本，经过提示调整或人工编辑后在某些情形下可与原始宣传同样具说服力。
"Strachan, James W. A.; Albergo, Dalila; Borghini, Giulia; Pansardi, Oriana; Scaliti, Eugenio; Gupta, Saurabh; Saxena, Krati; Rufo, Alessandro; Panzeri, Stefano; Manzi, Guido; Graziano, Michael S. A.; Becchio, Cristina",Testing theory of mind in large language models and humans,NATURE HUMAN BEHAVIOUR,8,7,,,10.1038/s41562-024-01882-z,24-May,Article,24-Jul,2024,"At the core of what defines us as humans is the concept of theory of mind: the ability to track other people's mental states. The recent development of large language models (LLMs) such as ChatGPT has led to intense debate about the possibility that these models exhibit behaviour that is indistinguishable from human behaviour in theory of mind tasks. Here we compare human and LLM performance on a comprehensive battery of measurements that aim to measure different theory of mind abilities, from understanding false beliefs to interpreting indirect requests and recognizing irony and faux pas. We tested two families of LLMs (GPT and LLaMA2) repeatedly against these measures and compared their performance with those from a sample of 1,907 human participants. Across the battery of theory of mind tests, we found that GPT-4 models performed at, or even sometimes above, human levels at identifying indirect requests, false beliefs and misdirection, but struggled with detecting faux pas. Faux pas, however, was the only test where LLaMA2 outperformed humans. Follow-up manipulations of the belief likelihood revealed that the superiority of LLaMA2 was illusory, possibly reflecting a bias towards attributing ignorance. By contrast, the poor performance of GPT originated from a hyperconservative approach towards committing to conclusions rather than from a genuine failure of inference. These findings not only demonstrate that LLMs exhibit behaviour that is consistent with the outputs of mentalistic inference in humans but also highlight the importance of systematic testing to ensure a non-superficial comparison between human and artificial intelligences.Testing two families of large language models (LLMs) (GPT and LLaMA2) on a battery of measurements spanning different theory of mind abilities, Strachan et al. find that the performance of LLMs can mirror that of humans on most of these tasks. The authors explored potential reasons for this.",AI Performance vs. Human Benchmarks,在多项心智理论任务中，GPT系列与LLaMA2在多数测验上能匹配或超越人类表现，但在某些子测验存在偏差与策略差异。
"Pataranutaporn, Pat; Liu, Ruby; Finn, Ed; Maes, Pattie","Influencing human-AI interaction by priming beliefs about AI can increase perceived trustworthiness, empathy and effectiveness",NATURE MACHINE INTELLIGENCE,5,10,1076,1086,10.1038/s42256-023-00720-7,23-Oct,Article,23-Oct,2023,"As conversational agents powered by large language models become more human-like, users are starting to view them as companions rather than mere assistants. Our study explores how changes to a person's mental model of an AI system affects their interaction with the system. Participants interacted with the same conversational AI, but were influenced by different priming statements regarding the AI's inner motives: caring, manipulative or no motives. Here we show that those who perceived a caring motive for the AI also perceived it as more trustworthy, empathetic and better-performing, and that the effects of priming and initial mental models were stronger for a more sophisticated AI model. Our work also indicates a feedback loop in which the user and AI reinforce the user's mental model over a short time; further work should investigate long-term effects. The research highlights the importance of how AI systems are introduced can notably affect the interaction and how the AI is experienced.The recent accessibility of large language models brought them into contact with a large number of users and, due to the social nature of language, it is hard to avoid prescribing human characteristics such as intentions to a chatbot. Pataranutaporn and colleagues investigated how framing a bot as helpful or manipulative can influence this perception and the behaviour of the humans that interact with it.",Human-AI Interaction and Perception,将AI描绘为有“关怀”动机可增加用户对其信任、同理心与效能感，且这种效果在更先进模型上更明显。
"Liang, Weixin; Zhang, Yaohui; Wu, Zhengxuan; Lepp, Haley; Ji, Wenlong; Zhao, Xuandong; Cao, Hancheng; Liu, Sheng; He, Siyu; Huang, Zhi; Yang, Diyi; Potts, Christopher; Manning, Christopher D.; Zou, James",Quantifying large language model usage in scientific papers,NATURE HUMAN BEHAVIOUR,,,,,10.1038/s41562-025-02273-8,25-Aug,Article; Early Access,,2025,"Scientific publishing is the primary means of disseminating research findings. There has been speculation about how extensively large language models (LLMs) are being used in academic writing. Here we conduct a systematic analysis across 1,121,912 preprints and published papers from January 2020 to September 2024 on arXiv, bioRxiv and Nature portfolio journals, using a population-level framework based on word frequency shifts to estimate the prevalence of LLM-modified content over time. Our findings suggest a steady increase in LLM usage, with the largest and fastest growth estimated for computer science papers (up to 22%). By comparison, mathematics papers and the Nature portfolio showed lower evidence of LLM modification (up to 9%). LLM modification estimates were higher among papers from first authors who post preprints more frequently, papers in more crowded research areas and papers of shorter lengths. Our findings suggest that LLMs are being broadly used in scientific writing.",Applications in Professional and Scientific Fields,基于对2020–2024年逾112万篇论文的词频分析表明，LLM在学术写作中的使用稳步上升，计算机科学增长最快（最高约22%）。
"Zhou, Lexin; Schellaert, Wout; Martinez-Plumed, Fernando; Moros-Daval, Yael; Ferri, Cesar; Hernandez-Orallo, Jose",Larger and more instructable language models become less reliable,NATURE,634,8032,61,+,10.1038/s41586-024-07930-y,24-Sep,Article,OCT 3 2024,2024,"The prevailing methods to make large language models more powerful and amenable have been based on continuous scaling up (that is, increasing their size, data volume and computational resources(1)) and bespoke shaping up (including post-filtering(2,3), fine tuning or use of human feedback(4,5)). However, larger and more instructable large language models may have become less reliable. By studying the relationship between difficulty concordance, task avoidance and prompting stability of several language model families, here we show that easy instances for human participants are also easy for the models, but scaled-up, shaped-up models do not secure areas of low difficulty in which either the model does not err or human supervision can spot the errors. We also find that early models often avoid user questions but scaled-up, shaped-up models tend to give an apparently sensible yet wrong answer much more often, including errors on difficult questions that human supervisors frequently overlook. Moreover, we observe that stability to different natural phrasings of the same question is improved by scaling-up and shaping-up interventions, but pockets of variability persist across difficulty levels. These findings highlight the need for a fundamental shift in the design and development of general-purpose artificial intelligence, particularly in high-stakes areas for which a predictable distribution of errors is paramount.","Bias, Ethics, and Societal Risks",研究发现规模更大、越可指令化的模型在可预测错误分布和被人工监督识别错误方面反而更不可靠，需重新设计以适应高风险场景。
"Akata, Elif; Schulz, Lion; Coda-Forno, Julian; Oh, Seong Joon; Bethge, Matthias; Schulz, Eric",Playing repeated games with large language models,NATURE HUMAN BEHAVIOUR,9,7,,,10.1038/s41562-025-02172-y,25-May,Article,25-Jul,2025,"Large language models (LLMs) are increasingly used in applications where they interact with humans and other agents. We propose to use behavioural game theory to study LLMs' cooperation and coordination behaviour. Here we let different LLMs play finitely repeated 2 x 2 games with each other, with human-like strategies, and actual human players. Our results show that LLMs perform particularly well at self-interested games such as the iterated Prisoner's Dilemma family. However, they behave suboptimally in games that require coordination, such as the Battle of the Sexes. We verify that these behavioural signatures are stable across robustness checks. We also show how GPT-4's behaviour can be modulated by providing additional information about its opponent and by using a 'social chain-of-thought' strategy. This also leads to better scores and more successful coordination when interacting with human players. These results enrich our understanding of LLMs' social behaviour and pave the way for a behavioural game theory for machines.",Human-AI Interaction and Perception,LLM在自利型重复博弈（如囚徒困境）表现良好但在需要协调的博弈中较差，提供对手信息与‘社会思路链’可改善其协调能力。
"Markowitz, David M.",From complexity to clarity: How AI enhances perceptions of scientists and the public's understanding of science,PNAS NEXUS,3,9,,,10.1093/pnasnexus/pgae387,,Article,SEP 16 2024,2024,"This article evaluated the effectiveness of using generative AI to simplify science communication and enhance the public's understanding of science. By comparing lay summaries of journal articles from PNAS, yoked to those generated by AI, this work first assessed linguistic simplicity differences across such summaries and public perceptions in follow-up experiments. Specifically, study 1a analyzed simplicity features of PNAS abstracts (scientific summaries) and significance statements (lay summaries), observing that lay summaries were indeed linguistically simpler, but effect size differences were small. Study 1b used a large language model, GPT-4, to create significance statements based on paper abstracts and this more than doubled the average effect size without fine-tuning. Study 2 experimentally demonstrated that simply-written generative pre-trained transformer (GPT) summaries facilitated more favorable perceptions of scientists (they were perceived as more credible and trustworthy, but less intelligent) than more complexly written human PNAS summaries. Crucially, study 3 experimentally demonstrated that participants comprehended scientific writing better after reading simple GPT summaries compared to complex PNAS summaries. In their own words, participants also summarized scientific papers in a more detailed and concrete manner after reading GPT summaries compared to PNAS summaries of the same article. AI has the potential to engage scientific communities and the public via a simple language heuristic, advocating for its integration into scientific dissemination for a more informed society.",Applications in Professional and Scientific Fields,GPT-4生成的简明科学摘要提高公众理解并使科学家被视为更可信但显得不那么聪明，促进更详细的受众再表述。
"Liu, Wei; Xiang, Ming; Ding, Nai",Active use of latent tree-structured sentence representation in humans and large language models,NATURE HUMAN BEHAVIOUR,,,,,10.1038/s41562-025-02297-0,25-Sep,Article; Early Access,,2025,"Understanding how sentences are represented in the human brain, as well as in large language models (LLMs), poses a substantial challenge for cognitive science. Here we develop a one-shot learning task to investigate whether humans and LLMs encode tree-structured constituents within sentences. Participants (total N = 372, native Chinese or English speakers, and bilingual in Chinese and English) and LLMs (for example, ChatGPT) were asked to infer which words should be deleted from a sentence. Both groups tend to delete constituents, instead of non-constituent word strings, following rules specific to Chinese and English, respectively. The results cannot be explained by models that rely only on word properties and word positions. Crucially, based on word strings deleted by either humans or LLMs, the underlying constituency tree structure can be successfully reconstructed. Altogether, these results demonstrate that latent tree-structured sentence representations emerge in both humans and LLMs.",Impact on Human Cognition and Collective Intelligence,人类与LLM在一句话删除任务中均倾向删除句子构成成分，表明树状句法表征在两者中皆会出现。
"Cai, Shanqing; Venugopalan, Subhashini; Seaver, Katie; Xiao, Xiang; Tomanek, Katrin; Jalasutram, Sri; Morris, Meredith Ringel; Kane, Shaun; Narayanan, Ajit; MacDonald, Robert L.; Kornman, Emily; Vance, Daniel; Casey, Blair; Gleason, Steve M.; Nelson, Philip Q.; Brenner, Michael P.",Using large language models to accelerate communication for eye gaze typing users with ALS,NATURE COMMUNICATIONS,15,1,,,10.1038/s41467-024-53873-3,,Article,NOV 1 2024,2024,"Accelerating text input in augmentative and alternative communication (AAC) is a long-standing area of research with bearings on the quality of life in individuals with profound motor impairments. Recent advances in large language models (LLMs) pose opportunities for re-thinking strategies for enhanced text entry in AAC. In this paper, we present SpeakFaster, consisting of an LLM-powered user interface for text entry in a highly-abbreviated form, saving 57% more motor actions than traditional predictive keyboards in offline simulation. A pilot study on a mobile device with 19 non-AAC participants demonstrated motor savings in line with simulation and relatively small changes in typing speed. Lab and field testing on two eye-gaze AAC users with amyotrophic lateral sclerosis demonstrated text-entry rates 29-60% above baselines, due to significant saving of expensive keystrokes based on LLM predictions. These findings form a foundation for further exploration of LLM-assisted text entry in AAC and other user interfaces.Individuals with severe motor impairments use gaze to type and communicate. This paper presents a large language model-based user interface that enables gaze typing in highly abbreviated forms, achieving significant motor saving and speed gain.",Applications in Professional and Scientific Fields,LLM驱动的SpeakFaster界面显著减少眼动打字所需动作并提高ALS用户输入速度。
"Ghassemi, Marzyeh",Presentation matters for AI-generated clinical advice,NATURE HUMAN BEHAVIOUR,,,,,10.1038/s41562-023-01721-7,23-Nov,Editorial Material; Early Access,,2023,"If mistakes are made in clinical settings, patients suffer. Artificial intelligence (AI) generally - and large language models specifically - are increasingly used in health settings, but the way that physicians use AI tools in this high-stakes environment depends on how information is delivered. AI toolmakers have a responsibility to present information in a way that minimizes harm.",Human-AI Interaction and Perception,临床环境中AI建议的呈现方式影响医师使用与患者安全，工具设计者需以减害为责。
"Kirk, Hannah Rose; Vidgen, Bertie; Rottger, Paul; Hale, Scott A.","The benefits, risks and bounds of personalizing the alignment of large language models to individuals",NATURE MACHINE INTELLIGENCE,6,4,383,392,10.1038/s42256-024-00820-y,,Review,24-Apr,2024,"Large language models (LLMs) undergo 'alignment' so that they better reflect human values or preferences, and are safer or more useful. However, alignment is intrinsically difficult because the hundreds of millions of people who now interact with LLMs have different preferences for language and conversational norms, operate under disparate value systems and hold diverse political beliefs. Typically, few developers or researchers dictate alignment norms, risking the exclusion or under-representation of various groups. Personalization is a new frontier in LLM development, whereby models are tailored to individuals. In principle, this could minimize cultural hegemony, enhance usefulness and broaden access. However, unbounded personalization poses risks such as large-scale profiling, privacy infringement, bias reinforcement and exploitation of the vulnerable. Defining the bounds of responsible and socially acceptable personalization is a non-trivial task beset with normative challenges. This article explores 'personalized alignment', whereby LLMs adapt to user-specific data, and highlights recent shifts in the LLM ecosystem towards a greater degree of personalization. Our main contribution explores the potential impact of personalized LLMs via a taxonomy of risks and benefits for individuals and society at large. We lastly discuss a key open question: what are appropriate bounds of personalization and who decides? Answering this normative question enables users to benefit from personalized alignment while safeguarding against harmful impacts for individuals and society. Tailoring the alignment of large language models (LLMs) to individuals is a new frontier in generative AI, but unbounded personalization can bring potential harm, such as large-scale profiling, privacy infringement and bias reinforcement. Kirk et al. develop a taxonomy for risks and benefits of personalized LLMs and discuss the need for normative decisions on what are acceptable bounds of personalization.","Bias, Ethics, and Societal Risks",个性化对齐可提升LLM有用性但带来隐私、刻板化与剥削等社会风险，需界定边界。
"Schoenegger, Philipp; Tuminauskaite, Indre; Park, Peter S.; Bastos, Rafael Valdece Sousa; Tetlock, Philip E.",Wisdom of the silicon crowd: LLM ensemble prediction capabilities rival human crowd accuracy,SCIENCE ADVANCES,10,45,,,10.1126/sciadv.adp1528,,Article,NOV 8 2024,2024,"Human forecasting accuracy improves through the wisdom of the crowd effect, in which aggregated predictions tend to outperform individual ones. Past research suggests that individual large language models (LLMs) tend to underperform compared to human crowd aggregates. We simulate a wisdom of the crowd effect with LLMs. Specifically, we use an ensemble of 12 LLMs to make probabilistic predictions about 31 binary questions, comparing them with those made by 925 human forecasters in a 3-month tournament. We show that the LLM crowd outperforms a no-information benchmark and is statistically indistinguishable from the human crowd. We also observe human-like biases, such as the acquiescence bias. In another study, we find that LLM predictions (of GPT-4 and Claude 2) improve when exposed to the median human prediction, increasing accuracy by 17 to 28%. However, simply averaging human and machine forecasts yields more accurate results. Our findings suggest that LLM predictions can rival the human crowd's forecasting accuracy through simple aggregation.",Impact on Human Cognition and Collective Intelligence,多模型LLM集成在二元预测中可与人群智慧相当，且与人类预测互补提高准确率。
